GENRE ERROR Film 	id = H2        	title = Number Thirteen                                   	year = 1922    	director = Hitchcock           	rating = 0.00	genres = []
GENRE ERROR Film 	id = HK10      	title = Tol'able David                                    	year = 1921    	director = H.King              	rating = 0.00	genres = []
GENRE ERROR Film 	id = HK20      	title = The White Sister                                  	year = 1923    	director = H.King              	rating = 0.00	genres = []
GENRE ERROR Film 	id = HK63      	title = Ramona                                            	year = 1936    	director = H.King              	rating = 0.00	genres = []
GENRE ERROR Film 	id = HK71      	title = Maryland                                          	year = 1940    	director = H.King              	rating = 0.00	genres = []
GENRE ERROR Film 	id = HK72      	title = Chad Hanna                                        	year = 1940    	director = H.King              	rating = 0.00	genres = []
GENRE ERROR Film 	id = HK73      	title = A Yank in the RAF                                 	year = 1941    	director = H.King              	rating = 0.00	genres = []
GENRE ERROR Film 	id = HK75      	title = The Black Swan                                    	year = 1942    	director = H.King              	rating = 0.00	genres = []
GENRE ERROR Film 	id = HK79      	title = Margie                                            	year = 1946    	director = H.King              	rating = 0.00	genres = []
NULL ITEMS  Film 	id = HK99.     	title = Tender is the Night                               	year = 1961    	director = H.King              	rating = 0.00	genres = []
NULL ITEMS  Film 	id = JqF2      	title = T\^etes de Femmes, Femmes de T\^ete               	year = 1916    	director = Feyder              	rating = 0.00	genres = []
GENRE ERROR Film 	id = JqF10     	title = L'Atlantide                                       	year = 1921    	director = Feyder              	rating = 0.00	genres = []
GENRE ERROR Film 	id = JqF20     	title = Les Noveuax Messieurs                             	year = 1929    	director = Feyder              	rating = 0.00	genres = []
GENRE ERROR Film 	id = JqF60     	title = La Lois du Nord                                   	year = 1939    	director = Feyder              	rating = 0.00	genres = []
GENRE ERROR Film 	id = MaN70     	title = Tess of the D'Ubervilles                          	year = 1925    	director = Neilan              	rating = 0.00	genres = []
GENRE ERROR Film 	id = MaN110    	title = Sweethearts on Parade                             	year = 1930    	director = Neilan              	rating = 0.00	genres = []
GENRE ERROR Film 	id = SFr50     	title = Dark Angel                                        	year = 1935    	director = S.Franklin          	rating = 0.00	genres = []
GENRE ERROR Film 	id = WDM10     	title = Nice People                                       	year = 1922    	director = W.DeMille           	rating = 0.00	genres = []
GENRE ERROR Film 	id = WDM20     	title = Craig's Wife                                      	year = 1928    	director = W.DeMille           	rating = 0.00	genres = []
GENRE ERROR Film 	id = AlW40     	title = The House of Rothschild                           	year = 1934    	director = Werker              	rating = 0.00	genres = []
GENRE ERROR Film 	id = AlW60     	title = The Adventures of Sherlock Holmes                 	year = 1939    	director = Werker              	rating = 0.00	genres = []
GENRE ERROR Film 	id = BsK1      	title = One Week                                          	year = 1920    	director = Cline               	rating = 0.00	genres = []
GENRE ERROR Film 	id = BsK2      	title = Convict 13                                        	year = 1920    	director = Cline               	rating = 0.00	genres = []
GENRE ERROR Film 	id = BsK3      	title = The Scarecrow                                     	year = 1920    	director = Cline               	rating = 0.00	genres = []
GENRE ERROR Film 	id = BsK5      	title = The Goat                                          	year = 1921    	director = Malcolm StClair     	rating = 0.00	genres = []
GENRE ERROR Film 	id = BsK7      	title = Hard Luck                                         	year = 1921    	director = Cline               	rating = 0.00	genres = []
GENRE ERROR Film 	id = BsK8      	title = The High Sign                                     	year = 1921    	director = Cline               	rating = 0.00	genres = []
GENRE ERROR Film 	id = BsK9      	title = The Playhouse                                     	year = 1921    	director = Cline               	rating = 0.00	genres = []
GENRE ERROR Film 	id = BsK10     	title = The Boat                                          	year = 1921    	director = Cline               	rating = 0.00	genres = []
GENRE ERROR Film 	id = BsK11     	title = The Paleface                                      	year = 1921    	director = Cline               	rating = 0.00	genres = []
GENRE ERROR Film 	id = BsK12     	title = The Blacksmith                                    	year = 1921    	director = StClair             	rating = 0.00	genres = []
GENRE ERROR Film 	id = BsK13     	title = Cops                                              	year = 1922    	director = Cline               	rating = 0.00	genres = []
GENRE ERROR Film 	id = BsK14     	title = The Electric House                                	year = 1922    	director = Cline               	rating = 0.00	genres = []
GENRE ERROR Film 	id = BsK15     	title = My Wife's Relations                               	year = 1922    	director = Cline               	rating = 0.00	genres = []
GENRE ERROR Film 	id = BsK17     	title = Day Dreams                                        	year = 1922    	director = Cline               	rating = 0.00	genres = []
GENRE ERROR Film 	id = BsK18     	title = The Baloonatic                                    	year = 1923    	director = Cline               	rating = 0.00	genres = []
GENRE ERROR Film 	id = BsK20     	title = The Love Nest                                     	year = 1923    	director = Cline               	rating = 0.00	genres = []
GENRE ERROR Film 	id = BsK28     	title = Life in Sometown, USA                             	year = 1938    	director = B.Keaton            	rating = 0.00	genres = []
GENRE ERROR Film 	id = BsK29     	title = Hollywood Handicap                                	year = 1938    	director = B.Keaton            	rating = 0.00	genres = []
GENRE ERROR Film 	id = BsK930    	title = Streamlined Swing                                 	year = 1938    	director = B.Keaton            	rating = 0.00	genres = []
NULL ITEMS  Film 	id = FLl7      	title = Les Mis\'erables                                  	year = 1918    	director = F.Lloyd             	rating = 0.00	genres = [9-Drama]
GENRE ERROR Film 	id = FLl20     	title = Oliver Twist                                      	year = 1922    	director = F.Lloyd             	rating = 0.00	genres = []
GENRE ERROR Film 	id = FLl50     	title = Passport to Hell                                  	year = 1932    	director = F.Lloyd             	rating = 0.00	genres = []
GENRE ERROR Film 	id = GM210     	title = The Ghost Breakers                                	year = 1940    	director = Geo.Marshall        	rating = 0.00	genres = []
GENRE ERROR Film 	id = GM220     	title = Murder He Says                                    	year = 1944    	director = Geo.Marshall        	rating = 0.00	genres = []
GENRE ERROR Film 	id = GM224     	title = Monsieur Beaucaire                                	year = 1946    	director = Geo.Marshall        	rating = 0.00	genres = []
GENRE ERROR Film 	id = GM230     	title = Fancy Pants                                       	year = 1950    	director = Geo.Marshall        	rating = 0.00	genres = []
GENRE ERROR Film 	id = HL5       	title = Grand-Ma's Boy                                    	year = 1922    	director = H.Lloyd             	rating = 0.00	genres = []
GENRE ERROR Film 	id = IF63      	title = Men Without Women                                 	year = 1930    	director = J.Ford              	rating = 0.00	genres = []
GENRE ERROR Film 	id = IF68      	title = Arrowsmith                                        	year = 1931    	director = J.Ford              	rating = 0.00	genres = []
GENRE ERROR Film 	id = IF73      	title = The Lost Patrol                                   	year = 1934    	director = J.Ford              	rating = 0.00	genres = []
GENRE ERROR Film 	id = IF77      	title = The Informer                                      	year = 1935    	director = J.Ford              	rating = 0.00	genres = []
NULL ITEMS  Film 	id = IF87      	title = Young Mr.~Lincoln                                 	year = 1939    	director = J.Ford              	rating = 0.00	genres = [5-Biography]
GENRE ERROR Film 	id = IF89      	title = The Grapes of Wrath                               	year = 1940    	director = J.Ford              	rating = 0.00	genres = []
GENRE ERROR Film 	id = IF90      	title = The Long Voyage Home                              	year = 1940    	director = J.Ford              	rating = 0.00	genres = []
GENRE ERROR Film 	id = IF98      	title = My Darling Clementine                             	year = 1946    	director = J.Ford              	rating = 0.00	genres = []
GENRE ERROR Film 	id = IF109     	title = The Sun Shines Bright                             	year = 1954    	director = J.Ford              	rating = 0.00	genres = []
NULL ITEMS  Film 	id = IF111     	title = Mr.~Roberts                                       	year = 1955    	director = M.LeRoy             	rating = 0.00	genres = [6-Comedy, 1-Action]
GENRE ERROR Film 	id = IF113     	title = The Wings of Eagles                               	year = 1957    	director = J.Ford              	rating = 0.00	genres = []
NULL ITEMS  Film 	id = ISR10     	title = Dr.~Jekyll and Mr.~Hyde                           	year = 1920    	director = Robertson           	rating = 0.00	genres = [13-Horror]
GENRE ERROR Film 	id = ISR20     	title = Captain of the Guard                              	year = 1930    	director = Robertson           	rating = 0.00	genres = []
GENRE ERROR Film 	id = RAB10     	title = The Black Mantilla                                	year = 1917    	director = Baldwin             	rating = 0.00	genres = []
GENRE ERROR Film 	id = RAB11     	title = A Dream of Egypt                                  	year = 1917    	director = Baldwin             	rating = 0.00	genres = []
GENRE ERROR Film 	id = RAB12     	title = A Romany Rose                                     	year = 1917    	director = Baldwin             	rating = 0.00	genres = []
GENRE ERROR Film 	id = RAB13     	title = Little Mariana's Triumph                          	year = 1917    	director = Baldwin             	rating = 0.00	genres = []
GENRE ERROR Film 	id = RAB14     	title = Amelita's Friend                                  	year = 1917    	director = Baldwin             	rating = 0.00	genres = []
GENRE ERROR Film 	id = RWN2      	title = The Good Bad Girl                                 	year = 1931    	director = R.W.Neill           	rating = 0.00	genres = []
GENRE ERROR Film 	id = RWN41     	title = Black Angel                                       	year = 1946    	director = R.W.Neill           	rating = 0.00	genres = []
GENRE ERROR Film 	id = RyB4      	title = The Girl with the Hatbox                          	year = 1927    	director = Boleslawski         	rating = 0.00	genres = []
GENRE ERROR Film 	id = RyB11     	title = Clive of India                                    	year = 1935    	director = Boleslawski         	rating = 0.00	genres = []
NULL ITEMS  Film 	id = RyB12     	title = Les Mis\'erables                                  	year = 1935    	director = Boleslawski         	rating = 0.00	genres = [9-Drama]
GENRE ERROR Film 	id = RyB16     	title = Theodora Goes Wild                                	year = 1935    	director = Boleslawski         	rating = 0.00	genres = []
GENRE ERROR Film 	id = RyB17     	title = The Garden of Allah                               	year = 1936    	director = Boleslawski         	rating = 0.00	genres = []
GENRE ERROR Film 	id = ViS53     	title = The Return of Peter Grimm                         	year = 1926    	director = Schertzinger        	rating = 0.00	genres = []
GENRE ERROR Film 	id = ChB2      	title = So Big                                            	year = 1923    	director = Brabin              	rating = 0.00	genres = []
GENRE ERROR Film 	id = ChB5      	title = The Bridge of San Luis Rey                        	year = 1923    	director = Brabin              	rating = 0.00	genres = []
GENRE ERROR Film 	id = EvS2      	title = The Devil's Passkey                               	year = 1919    	director = vonStroheim         	rating = 0.00	genres = []
GENRE ERROR Film 	id = EvS3      	title = Foolish Wives                                     	year = 1921    	director = vonStroheim         	rating = 0.00	genres = []
GENRE ERROR Film 	id = EvS5      	title = Greed                                             	year = 1999    	director = vonStroheim         	rating = 0.00	genres = []
GENRE ERROR Film 	id = EvS8      	title = Queen Kelly                                       	year = 1928    	director = vonStroheim         	rating = 0.00	genres = []
GENRE ERROR Film 	id = FrN2      	title = Sex                                               	year = 1920    	director = Niblo               	rating = 0.00	genres = []
GENRE ERROR Film 	id = FrN9      	title = Camille                                           	year = 1927    	director = Niblo               	rating = 0.00	genres = []
GENRE ERROR Film 	id = IMS10     	title = Husbands and Lovers                               	year = 1923    	director = Stahl               	rating = 0.00	genres = []
GENRE ERROR Film 	id = IMS55     	title = The Keys of the Kingdom                           	year = 1944    	director = Stahl               	rating = 0.00	genres = []
GENRE ERROR Film 	id = IMS70     	title = Oh You Beautiful Doll                             	year = 1949    	director = Stahl               	rating = 0.00	genres = []
GENRE ERROR Film 	id = KV1       	title = The Turn in the Road                              	year = 1918    	director = K.Vidor             	rating = 0.00	genres = []
GENRE ERROR Film 	id = KV23      	title = The Big Parade                                    	year = 1925    	director = K.Vidor             	rating = 0.00	genres = []
GENRE ERROR Film 	id = KV28      	title = Hallelujah                                        	year = 1929    	director = K.Vidor             	rating = 0.00	genres = []
GENRE ERROR Film 	id = KV30      	title = Billy the Kid                                     	year = 1930    	director = K.Vidor             	rating = 0.00	genres = []
GENRE ERROR Film 	id = KV31      	title = Street Scene                                      	year = 1930    	director = K.Vidor             	rating = 0.00	genres = []
GENRE ERROR Film 	id = KV32      	title = The Champ                                         	year = 1931    	director = K.Vidor             	rating = 0.00	genres = []
GENRE ERROR Film 	id = KV36      	title = Our Daily Bread                                   	year = 1934    	director = K.Vidor             	rating = 0.00	genres = []
GENRE ERROR Film 	id = KV41      	title = The Citadel                                       	year = 1938    	director = K.Vidor             	rating = 0.00	genres = []
GENRE ERROR Film 	id = KV43      	title = My Son My Son                                     	year = 1940    	director = K.Vidor             	rating = 0.00	genres = []
GENRE ERROR Film 	id = KV64      	title = War and Peace                                     	year = 1956    	director = K.Vidor             	rating = 0.00	genres = []
GENRE ERROR Film 	id = TB10      	title = The Virgin of Stamboul                            	year = 1920    	director = T.Browning          	rating = 0.00	genres = []
GENRE ERROR Film 	id = TB15      	title = Under Two Flags                                   	year = 1922    	director = T.Browning          	rating = 0.00	genres = []
GENRE ERROR Film 	id = TB40      	title = West of Zanzibar                                  	year = 1928    	director = T.Browning          	rating = 0.00	genres = []
GENRE ERROR Film 	id = TB45      	title = The Unholy Three                                  	year = 1929    	director = T.Browning          	rating = 0.00	genres = []
GENRE ERROR Film 	id = TB50      	title = The Unholy Three                                  	year = 1930    	director = T.Browning          	rating = 0.00	genres = []
GENRE ERROR Film 	id = WAS50     	title = Boy Crazy                                         	year = 1922    	director = Seiter              	rating = 0.00	genres = []
GENRE ERROR Film 	id = WAS70     	title = Girl Crazy                                        	year = 1932    	director = Seiter              	rating = 0.00	genres = []
GENRE ERROR Film 	id = WAS90     	title = This Is My Affair                                 	year = 1937    	director = Seiter              	rating = 0.00	genres = []
GENRE ERROR Film 	id = WAS110    	title = Broadway                                          	year = 1942    	director = Seiter              	rating = 0.00	genres = []
GENRE ERROR Film 	id = WAS120    	title = The Affairs of Susan                              	year = 1945    	director = Seiter              	rating = 0.00	genres = []
GENRE ERROR Film 	id = WvD38     	title = Trader Horn                                       	year = 1930    	director = VanDyke             	rating = 0.00	genres = []
GENRE ERROR Film 	id = WvD43     	title = Tarzan the Ape Man                                	year = 1932    	director = VanDyke             	rating = 0.00	genres = []
GENRE ERROR Film 	id = WvD56     	title = San Francisco                                     	year = 1936    	director = VanDyke             	rating = 0.00	genres = []
GENRE ERROR Film 	id = WvD78     	title = I Married an Angel                                	year = 1942    	director = VanDyke             	rating = 0.00	genres = []
NULL ITEMS  Film 	id = AbP10     	title = The Eyes of Youth                                 	year = 1919    	director = Albert~Parker       	rating = 0.00	genres = [9-Drama]
NULL ITEMS  Film 	id = AbP50     	title = Blind Man's Bluff                                 	year = 1936    	director = Albert~Parker       	rating = 0.00	genres = [9-Drama]
GENRE ERROR Film 	id = C30       	title = The Way of Terror                                 	year = 1921    	director = Curtiz              	rating = 0.00	genres = []
GENRE ERROR Film 	id = C65       	title = The Third Degree                                  	year = 1926    	director = Curtiz              	rating = 0.00	genres = []
GENRE ERROR Film 	id = C76       	title = Mammy                                             	year = 1930    	director = Curtiz              	rating = 0.00	genres = []
GENRE ERROR Film 	id = C87       	title = Doctor X                                          	year = 1932    	director = Curtiz              	rating = 0.00	genres = []
GENRE ERROR Film 	id = C89       	title = Twenty-Thousand Years in Sing Sing                	year = 1933    	director = Curtiz              	rating = 0.00	genres = []
GENRE ERROR Film 	id = C98       	title = British Agent                                     	year = 1934    	director = Curtiz              	rating = 0.00	genres = []
GENRE ERROR Film 	id = C101      	title = Black Fury                                        	year = 1935    	director = Curtiz              	rating = 0.00	genres = []
GENRE ERROR Film 	id = C102      	title = Front Page Woman                                  	year = 1935    	director = Curtiz              	rating = 0.00	genres = []
GENRE ERROR Film 	id = C114      	title = Fight for Gold                                    	year = 1938    	director = Curtiz              	rating = 0.00	genres = []
GENRE ERROR Film 	id = C121      	title = The Sea Hawk                                      	year = 1940    	director = Curtiz              	rating = 0.00	genres = []
GENRE ERROR Film 	id = C127      	title = Casablanca                                        	year = 1942    	director = Curtiz              	rating = 0.00	genres = []
GENRE ERROR Film 	id = C129      	title = This is The Army                                  	year = 1943    	director = Curtiz              	rating = 0.00	genres = []
GENRE ERROR Film 	id = FL4       	title = Hara Kiri                                         	year = 1919    	director = F.Lang              	rating = 0.00	genres = []
NULL ITEMS  Film 	id = FL8       	title = Der M\"ude Tod                                    	year = 1921    	director = F.Lang              	rating = 0.00	genres = [11-Fantasy]
NULL ITEMS  Film 	id = FL9       	title = Dr.~Mabuse, Der Spieler                           	year = 1922    	director = F.Lang              	rating = 0.00	genres = [24-Suspense]
NULL ITEMS  Film 	id = FL17      	title = Das Testament des Dr.~Mabuse                      	year = 1932    	director = F.Lang              	rating = 0.00	genres = []
GENRE ERROR Film 	id = FL18      	title = Liliom                                            	year = 1933    	director = F.Lang              	rating = 0.00	genres = []
GENRE ERROR Film 	id = FL26      	title = Hangmen Also Die                                  	year = 1942    	director = F.Lang              	rating = 0.00	genres = []
GENRE ERROR Film 	id = FL40      	title = Human Desire                                      	year = 1954    	director = F.Lang              	rating = 0.00	genres = []
GENRE ERROR Film 	id = FL41      	title = Moonfleet                                         	year = 1955    	director = F.Lang              	rating = 0.00	genres = []
GENRE ERROR Film 	id = FL42      	title = While the City Sleeps                             	year = 1955    	director = F.Lang              	rating = 0.00	genres = []
GENRE ERROR Film 	id = FL43      	title = Beyond a Reasonable Doubt                         	year = 1956    	director = F.Lang              	rating = 0.00	genres = []
GENRE ERROR Film 	id = FL44      	title = Der Tiger von Ischnapur                           	year = 1958    	director = F.Lang              	rating = 0.00	genres = []
GENRE ERROR Film 	id = FL45      	title = Das Indische Grabmal                              	year = 1958    	director = F.Lang              	rating = 0.00	genres = []
NULL ITEMS  Film 	id = FL46.     	title = Die Tausend Augen des Dr.~Mabuse                  	year = 1960    	director = F.Lang              	rating = 0.00	genres = []
NULL ITEMS  Film 	id = FNm12     	title = Safety Last                                       	year = 1923    	director = Sam~Taylor          	rating = 0.00	genres = [6-Comedy]
GENRE ERROR Film 	id = FNm14     	title = Why Worry                                         	year = 1923    	director = Newmeyer            	rating = 0.00	genres = []
GENRE ERROR Film 	id = FNm16     	title = Hot Water                                         	year = 1924    	director = Newmeyer            	rating = 0.00	genres = []
GENRE ERROR Film 	id = FNm20     	title = The Freshman                                      	year = 1925    	director = Newmeyer            	rating = 0.00	genres = []
GENRE ERROR Film 	id = FNm40     	title = General Spanky                                    	year = 1936    	director = G.Douglas           	rating = 0.00	genres = []
GENRE ERROR Film 	id = GAr50     	title = College Coquette                                  	year = 1929    	director = Archainbaud         	rating = 0.00	genres = []
GENRE ERROR Film 	id = GF40      	title = Bella Donna                                       	year = 1923    	director = Fitzmaurice         	rating = 0.00	genres = []
GENRE ERROR Film 	id = GF60      	title = Dark Angel                                        	year = 1925    	director = Fitzmaurice         	rating = 0.00	genres = []
GENRE ERROR Film 	id = GAr100    	title = The Kansan                                        	year = 1943    	director = Archainbaud         	rating = 0.00	genres = []
GENRE ERROR Film 	id = HB30      	title = Main Street                                       	year = 1923    	director = H.Beaumont          	rating = 0.00	genres = []
GENRE ERROR Film 	id = HB40      	title = Beau Brummel                                      	year = 1924    	director = H.Beaumont          	rating = 0.00	genres = []
GENRE ERROR Film 	id = HB50      	title = Babbitt                                           	year = 1924    	director = H.Beaumont          	rating = 0.00	genres = []
GENRE ERROR Film 	id = HB70      	title = Our Dancing Daughters                             	year = 1928    	director = H.Beaumont          	rating = 0.00	genres = []
GENRE ERROR Film 	id = HB80      	title = Broadway Melody                                   	year = 1929    	director = H.Beaumont          	rating = 0.00	genres = []
GENRE ERROR Film 	id = HB90      	title = When Ladies Meet                                  	year = 1933    	director = H.Beaumont          	rating = 0.00	genres = []
NULL ITEMS  Film 	id = HuF8      	title = Mrs.~Wiggs of the Cabbage Patch                   	year = 1919    	director = H.Ford              	rating = 0.00	genres = [6-Comedy, 9-Drama]
GENRE ERROR Film 	id = HuF10     	title = The Great Day                                     	year = 1920    	director = H.Ford              	rating = 0.00	genres = []
GENRE ERROR Film 	id = HuF11     	title = The Call of Youth                                 	year = 1920    	director = H.Ford              	rating = 0.00	genres = []
GENRE ERROR Film 	id = JuD2      	title = Poil de Carotte                                   	year = 1925    	director = Duvivier            	rating = 0.00	genres = []
GENRE ERROR Film 	id = JuD3      	title = Poil de Carotte                                   	year = 1932    	director = Duvivier            	rating = 0.00	genres = []
GENRE ERROR Film 	id = JuD5      	title = Maria Chapdelaine                                 	year = 1933    	director = Duvivier            	rating = 0.00	genres = []
GENRE ERROR Film 	id = JuD6      	title = Le Golem                                          	year = 1935    	director = Duvivier            	rating = 0.00	genres = []
GENRE ERROR Film 	id = JuD7      	title = La Belle Equipe                                   	year = 1936    	director = Duvivier            	rating = 0.00	genres = []
NULL ITEMS  Film 	id = JuD8      	title = P\'ep\'e le Moko                                  	year = 1937    	director = Duvivier            	rating = 0.00	genres = [18-Romance]
GENRE ERROR Film 	id = JuD9      	title = Une Carnet de Bal                                 	year = 1937    	director = Duvivier            	rating = 0.00	genres = []
GENRE ERROR Film 	id = JuD11     	title = La Fin de Jour                                    	year = 1939    	director = Duvivier            	rating = 0.00	genres = []
GENRE ERROR Film 	id = JuD11     	title = La Fin de Jour                                    	year = 1939    	director = Duvivier            	rating = 0.00	genres = []
GENRE ERROR Film 	id = JuD12     	title = Lydia                                             	year = 1941    	director = Duvivier            	rating = 0.00	genres = []
GENRE ERROR Film 	id = JuD16     	title = Anna Karenina                                     	year = 1948    	director = Duvivier            	rating = 0.00	genres = []
GENRE ERROR Film 	id = JuD19     	title = Don Camillo                                       	year = 1952    	director = Duvivier            	rating = 0.00	genres = []
GENRE ERROR Film 	id = JuD25     	title = The Man in the Raincoat                           	year = 1957    	director = Duvivier            	rating = 0.00	genres = []
GENRE ERROR Film 	id = JuD34     	title = Pot-Boullie                                       	year = 1957    	director = Duvivier            	rating = 0.00	genres = []
GENRE ERROR Film 	id = RhS1      	title = Around The World in 80 Days                       	year = 1919    	director = Schunzel            	rating = 0.00	genres = []
GENRE ERROR Film 	id = RhS30     	title = Amphityron                                        	year = 1937    	director = Schunzel            	rating = 0.00	genres = []
GENRE ERROR Film 	id = RhS35     	title = Rich Man, Poor Girl                               	year = 1938    	director = Schunzel            	rating = 0.00	genres = []
GENRE ERROR Film 	id = RhS40     	title = The Great Awakening                               	year = 1941    	director = Schunzel            	rating = 0.00	genres = []
GENRE ERROR Film 	id = RiO10     	title = Pagu                                              	year = 1916    	director = R.Oswald            	rating = 0.00	genres = []
NULL ITEMS  Film 	id = RiO30     	title = Der Hauptmann von K\"openick                      	year = 1932    	director = R.Oswald            	rating = 0.00	genres = [6-Comedy]
GENRE ERROR Film 	id = RiO40     	title = I Was A Criminal                                  	year = 1941    	director = R.Oswald            	rating = 0.00	genres = []
GENRE ERROR Film 	id = RiO42     	title = Isle of Missing Men                               	year = 1942    	director = R.Oswald            	rating = 0.00	genres = []
NULL ITEMS  Film 	id = RW1       	title = Das Kabinett des Dr.~Caligari                     	year = 1919    	director = Wiene               	rating = 0.00	genres = [13-Horror]
GENRE ERROR Film 	id = RW10      	title = Genuine                                           	year = 1920    	director = Wiene               	rating = 0.00	genres = []
GENRE ERROR Film 	id = RW20      	title = Raskolnikov                                       	year = 1923    	director = Wiene               	rating = 0.00	genres = []
GENRE ERROR Film 	id = CBw10     	title = The Goose Woman                                   	year = 1925    	director = Cl.Brown            	rating = 0.00	genres = []
GENRE ERROR Film 	id = CBw26     	title = Night Flight                                      	year = 1933    	director = Cl.Brown            	rating = 0.00	genres = []
GENRE ERROR Film 	id = CBw29     	title = Anna Karenina                                     	year = 1935    	director = Cl.Brown            	rating = 0.00	genres = []
GENRE ERROR Film 	id = CBw40     	title = The Human Comedy                                  	year = 1943    	director = Cl.Brown            	rating = 0.00	genres = []
GENRE ERROR Film 	id = CDr2      	title = Leaves from Satan's Book                          	year = 1920    	director = Dreyer              	rating = 0.00	genres = []
GENRE ERROR Film 	id = CDr5      	title = Once Upon a Time                                  	year = 1922    	director = Dreyer              	rating = 0.00	genres = []
GENRE ERROR Film 	id = CuB30     	title = Devotion                                          	year = 1944    	director = Bernhardt           	rating = 0.00	genres = []
GENRE ERROR Film 	id = CuB32     	title = My Reputation                                     	year = 1946    	director = Bernhardt           	rating = 0.00	genres = []
GENRE ERROR Film 	id = CuB33     	title = A Stolen Life                                     	year = 1946    	director = Bernhardt           	rating = 0.00	genres = []
DUPLICATE   Film 	id = FB21      	title = Liliom                                            	year = 1930    	director = Borzage             	rating = 0.00	genres = []
GENRE ERROR Film 	id = FB61      	title = Moonrise                                          	year = 1949    	director = Borzage             	rating = 0.00	genres = []
GENRE ERROR Film 	id = GCt21     	title = The Prude's Fall                                  	year = 1923    	director = Hitchcock           	rating = 0.00	genres = []
GENRE ERROR Film 	id = GCt30     	title = The Rat                                           	year = 1927    	director = Cutts               	rating = 0.00	genres = []
GENRE ERROR Film 	id = GCt40     	title = The Sign of Four                                  	year = 1932    	director = Cutts               	rating = 0.00	genres = []
GENRE ERROR Film 	id = GCt30     	title = The Rat                                           	year = 1927    	director = Cutts               	rating = 0.00	genres = []
GENRE ERROR Film 	id = GCt60     	title = Aren't Men Beasts                                 	year = 1937    	director = Cutts               	rating = 0.00	genres = []
GENRE ERROR Film 	id = GCt70     	title = Just William                                      	year = 1927    	director = Cutts               	rating = 0.00	genres = []
GENRE ERROR Film 	id = GRi50     	title = Peddlin' in Society                               	year = 1946    	director = Righelli            	rating = 0.00	genres = []
GENRE ERROR Film 	id = HWx4      	title = Nell Gwynn                                        	year = 1924    	director = H.Wilcox            	rating = 0.00	genres = []
GENRE ERROR Film 	id = HWx5      	title = Dawn                                              	year = 1928    	director = H.Wilcox            	rating = 0.00	genres = []
GENRE ERROR Film 	id = HWx10     	title = Bitter Sweet                                      	year = 1933    	director = H.Wilcox            	rating = 0.00	genres = []
GENRE ERROR Film 	id = HWx19     	title = Nurse Edith Cavell                                	year = 1939    	director = H.Wilcox            	rating = 0.00	genres = []
GENRE ERROR Film 	id = HWx20     	title = Sunny                                             	year = 1939    	director = H.Wilcox            	rating = 0.00	genres = []
GENRE ERROR Film 	id = HWx47     	title = Spring in Park Lane                               	year = 1948    	director = H.Wilcox            	rating = 0.00	genres = []
GENRE ERROR Film 	id = HWx50     	title = Odette                                            	year = 1950    	director = H.Wilcox            	rating = 0.00	genres = []
GENRE ERROR Film 	id = LD1       	title = Le Silence                                        	year = 1921    	director = Rene Coiffard       	rating = 0.00	genres = []
NULL ITEMS  Film 	id = LD2       	title = Fi\`evre                                          	year = 1921    	director = Delluc              	rating = 0.00	genres = []
GENRE ERROR Film 	id = LD3       	title = Le Chemin d'Enroa                                 	year = 1921    	director = Delluc              	rating = 0.00	genres = []
GENRE ERROR Film 	id = LD4       	title = Le Tonnerre                                       	year = 1921    	director = Delluc              	rating = 0.00	genres = []
GENRE ERROR Film 	id = LD5       	title = La femme de nulle part                            	year = 1922    	director = Delluc              	rating = 0.00	genres = []
GENRE ERROR Film 	id = LD6       	title = L'innodation                                      	year = 1924    	director = Delluc              	rating = 0.00	genres = []
GENRE ERROR Film 	id = SW3       	title = Bluebeard's Eighth Wife                           	year = 1923    	director = S.Wood              	rating = 0.00	genres = []
NULL ITEMS  Film 	id = SW15      	title = Goodbye Mr.~Chips                                 	year = 1939    	director = S.Wood              	rating = 0.00	genres = [9-Drama]
GENRE ERROR Film 	id = SW17      	title = Our Town                                          	year = 1940    	director = S.Wood              	rating = 0.00	genres = []
GENRE ERROR Film 	id = SW31      	title = Ivy                                               	year = 1947    	director = S.Wood              	rating = 0.00	genres = []
GENRE ERROR Film 	id = SW32      	title = Command Decision                                  	year = 1948    	director = S.Wood              	rating = 0.00	genres = []
GENRE ERROR Film 	id = SW34      	title = Ambush                                            	year = 1950    	director = S.Wood              	rating = 0.00	genres = []
GENRE ERROR Film 	id = VF17      	title = Lord Jim                                          	year = 1925    	director = V.Fleming           	rating = 0.00	genres = []
GENRE ERROR Film 	id = VF26      	title = The Virginian                                     	year = 1929    	director = V.Fleming           	rating = 0.00	genres = []
GENRE ERROR Film 	id = VF32      	title = The Wet Parade                                    	year = 1932    	director = V.Fleming           	rating = 0.00	genres = []
NULL ITEMS  Film 	id = VF45      	title = Dr.~Jekyll and Mr.~Hyde                           	year = 1941    	director = V.Fleming           	rating = 0.00	genres = [11-Fantasy]
NULL ITEMS  Film 	id = Z2010     	title = Within Our Gates                                  	year = 1920    	director = UnYear20            	rating = 0.00	genres = []
GENRE ERROR Film 	id = AdB10     	title = The Man Without Desire                            	year = 1923    	director = Brunel              	rating = 0.00	genres = []
GENRE ERROR Film 	id = AdB20     	title = Blighty                                           	year = 1927    	director = Brunel              	rating = 0.00	genres = []
