No. of Films read '7958'.
Film 	id = HCP6      	title = The Story of Vernon and Irene Castle              	year = 1939    	director = H.Potter            	rating = 0.00	genres = [5-Biography, 15-Musical]
Film 	id = IWk3      	title = Night and the City                                	year = 1992    	director = I.Winkler           	rating = 0.00	genres = [9-Drama]
Film 	id = DoW80     	title = The Pearl Necklace                                	year = 1961    	director = D.Weis              	rating = 0.00	genres = [24-Suspense]
Film 	id = IWk1      	title = Guilty by Suspicion                               	year = 1991    	director = I.Winkler           	rating = 0.00	genres = [9-Drama]
Film 	id = DoW81     	title = A Secret Life                                     	year = 1961    	director = D.Weis              	rating = 0.00	genres = [24-Suspense]
Film 	id = FFC20     	title = Tucker, the Man and his Dream                     	year = 1989    	director = Coppola             	rating = 0.00	genres = [5-Biography]
Film 	id = IWk5      	title = The Net                                           	year = 1995    	director = I.Winkler           	rating = 0.00	genres = [24-Suspense]
Film 	id = RWa50     	title = Young at Heart                                    	year = 1938    	director = Ri.Wallace          	rating = 0.00	genres = [18-Romance]
Film 	id = RcB40     	title = Wrong is Right                                    	year = 1981    	director = R.Brooks            	rating = 0.00	genres = [1-Action]
Film 	id = FFC26     	title = Bram Stoker's Dracula                             	year = 1992    	director = Coppola             	rating = 0.00	genres = [13-Horror]
Film 	id = FFC24     	title = The Godfather, Part III                           	year = 1990    	director = Coppola             	rating = 0.00	genres = [9-Drama, 1-Action]
Film 	id = GM200     	title = Destry Rides Again                                	year = 1939    	director = Geo.Marshall        	rating = 0.00	genres = [25-West]
Film 	id = WaW5      	title = Life is Cheap, but Toilet Paper is Expensive      	year = 1989    	director = Wang                	rating = 0.00	genres = [9-Drama]
Film 	id = DM230     	title = The Organization                                  	year = 1971    	director = Medford             	rating = 0.00	genres = [3-Adventure]
Film 	id = JSv15     	title = Kolya                                             	year = 1997    	director = Sverak              	rating = 0.00	genres = [18-Romance]
Film 	id = WaW2      	title = Diem Sum                                          	year = 1984    	director = Wang                	rating = 0.00	genres = [18-Romance]
Film 	id = WaW1      	title = Chan is Missing                                   	year = 1982    	director = Wang                	rating = 0.00	genres = [16-Mystery]
Film 	id = WWn170    	title = The Last Musketeer                                	year = 1952    	director = Witney              	rating = 0.00	genres = [1-Action]
Film 	id = WaW4      	title = Eat a Bowl of Tea                                 	year = 1989    	director = Wang                	rating = 0.00	genres = [9-Drama]
Film 	id = LeL20     	title = Die Letzte Chance                                 	year = 1945    	director = Lindtberg           	rating = 0.00	genres = [3-Adventure]
Film 	id = WaW3      	title = Slam Dance                                        	year = 1987    	director = Wang                	rating = 0.00	genres = [9-Drama]
Film 	id = ClC50     	title = Story of Women                                    	year = 1990    	director = Chabrol             	rating = 0.00	genres = [5-Biography]
Film 	id = FFC10     	title = The Outsiders                                     	year = 1983    	director = Coppola             	rating = 0.00	genres = [9-Drama]
Film 	id = MRy1      	title = The Fox                                           	year = 1968    	director = Rydell              	rating = 0.00	genres = [6-Comedy]
Film 	id = FFC15     	title = Peggy Sue Got Married                             	year = 1986    	director = Coppola             	rating = 0.00	genres = [9-Drama]
Film 	id = ClC57     	title = La Ceremonie                                      	year = 1997    	director = Chabrol             	rating = 0.00	genres = [9-Drama]
Film 	id = FFC12     	title = The Cotton Club                                   	year = 1984    	director = Coppola             	rating = 0.00	genres = [9-Drama]
Film 	id = JuW10     	title = Sidewalks of New York                             	year = 1931    	director = Zion Meyers         	rating = 0.00	genres = [6-Comedy]
Film 	id = GRH2      	title = Toys in the Attic                                 	year = 1963    	director = G.R.Hill            	rating = 0.00	genres = [9-Drama]
Film 	id = GRH1      	title = Period of Adjustment                              	year = 1962    	director = G.R.Hill            	rating = 0.00	genres = [9-Drama]
Film 	id = GRH4      	title = Hawaii                                            	year = 1966    	director = G.R.Hill            	rating = 0.00	genres = [9-Drama]
Film 	id = GRH3      	title = The World of Henry Orient                         	year = 1964    	director = G.R.Hill            	rating = 0.00	genres = [18-Romance]
Film 	id = GRH6      	title = Butch Cassidy and the Sundance Kid                	year = 1969    	director = G.R.Hill            	rating = 0.00	genres = [3-Adventure]
Film 	id = ClC45     	title = The Cry of the Owl                                	year = 1987    	director = Chabrol             	rating = 0.00	genres = [24-Suspense]
Film 	id = GRH5      	title = Thoroughly Modern Millie                          	year = 1967    	director = G.R.Hill            	rating = 0.00	genres = [6-Comedy]
Film 	id = GRH8      	title = The Sting                                         	year = 1973    	director = G.R.Hill            	rating = 0.00	genres = [6-Comedy, 24-Suspense]
Film 	id = ClC49     	title = Stille Tage in Clichy                             	year = 1990    	director = Chabrol             	rating = 0.00	genres = [9-Drama]
Film 	id = GRH9      	title = The Great Waldo Pepper                            	year = 1975    	director = G.R.Hill            	rating = 0.00	genres = [3-Adventure]
Film 	id = GM222     	title = Incendiary Blonde                                 	year = 1945    	director = Geo.Marshall        	rating = 0.00	genres = [5-Biography]
Film 	id = GM223     	title = The Blue Dahlia                                   	year = 1946    	director = Geo.Marshall        	rating = 0.00	genres = [29-Noir]
Film 	id = JGs10     	title = When Time Stood Still                             	year = 1965    	director = Goldstone           	rating = 0.00	genres = [3-Adventure]
Film 	id = GM225     	title = The Happy Barber                                  	year = 1946    	director = Geo.Marshall        	rating = 0.00	genres = [6-Comedy]
Film 	id = WAS95     	title = Room Service                                      	year = 1938    	director = Seiter              	rating = 0.00	genres = [6-Comedy]
Film 	id = DHa2      	title = Every Girl Should Be Married                      	year = 1947    	director = Hartman             	rating = 0.00	genres = [18-Romance]
Film 	id = DoW50     	title = Santa Claus and the 10th Avenue Kid               	year = 1955    	director = D.Weis              	rating = 0.00	genres = [24-Suspense]
Film 	id = DHa5      	title = Holiday Affair                                    	year = 1949    	director = Hartman             	rating = 0.00	genres = [18-Romance]
Film 	id = DHa7      	title = Mr. Imperium                                      	year = 1951    	director = Hartman             	rating = 0.00	genres = [15-Musical]
Film 	id = DoW51     	title = The Big Switch                                    	year = 1956    	director = D.Weis              	rating = 0.00	genres = [24-Suspense]
Film 	id = GM226     	title = The Perils of Pauline                             	year = 1947    	director = Geo.Marshall        	rating = 0.00	genres = [9-Drama]
Film 	id = ChB9      	title = The Mask of Fu Manchu                             	year = 1932    	director = Ch.Vidor            	rating = 0.00	genres = [16-Mystery]
Film 	id = GM227     	title = Variety Girl                                      	year = 1947    	director = Geo.Marshall        	rating = 0.00	genres = [9-Drama]
Film 	id = IH11      	title = The Treasure of the Sierra Madre                  	year = 1948    	director = J.Huston            	rating = 0.00	genres = [25-West]
Film 	id = ClC35     	title = Une Partie de Plaisir                             	year = 1975    	director = Chabrol             	rating = 0.00	genres = [9-Drama]
Film 	id = MRy9      	title = The Rose                                          	year = 1979    	director = Rydell              	rating = 0.00	genres = [5-Biography]
Film 	id = IsF10     	title = Desert Kickboxer                                  	year = 1991    	director = Florentine          	rating = 0.00	genres = [1-Action]
Film 	id = GM235     	title = The White Son of the Sioux                        	year = 1952    	director = Geo.Marshall        	rating = 0.00	genres = [25-West]
Film 	id = MiA25     	title = Orca the Killer Whale                             	year = 1979    	director = M.Anderson          	rating = 0.00	genres = [13-Horror]
Film 	id = MRy7      	title = The Cowboys                                       	year = 1971    	director = Rydell              	rating = 0.00	genres = [25-West]
Film 	id = xCh10     	title = The Emperor and the Assassin                      	year = 1999    	director = x.Chen              	rating = 0.00	genres = [26-Epic]
Film 	id = WAS80     	title = The Richest Girl in The World                     	year = 1932    	director = Seiter              	rating = 0.00	genres = [6-Comedy, 18-Romance]
Film 	id = MiA21     	title = Conduct Unbecoming                                	year = 1975    	director = M.Anderson          	rating = 0.00	genres = [9-Drama]
Film 	id = WAS82     	title = If Only You Could Cook                            	year = 1935    	director = Seiter              	rating = 0.00	genres = [6-Comedy]
Film 	id = DM200     	title = To Trap a Spy                                     	year = 1965    	director = Medford             	rating = 0.00	genres = [3-Adventure]
Film 	id = WAS83     	title = Roberta                                           	year = 1935    	director = Seiter              	rating = 0.00	genres = [15-Musical]
Film 	id = MEk10     	title = Carmen                                            	year = 1998    	director = Ek                  	rating = 0.00	genres = [15-Musical]
Film 	id = WAS85     	title = The Moon's Our Home                               	year = 1936    	director = Seiter              	rating = 0.00	genres = [6-Comedy]
Film 	id = RtD10     	title = The Long Silence                                  	year = 1963    	director = R.Douglas           	rating = 0.00	genres = [24-Suspense]
Film 	id = ClC20     	title = Les Biches                                        	year = 1968    	director = Chabrol             	rating = 0.00	genres = [9-Drama]
Film 	id = RtD12     	title = Behind the Locked Door                            	year = 1964    	director = R.Douglas           	rating = 0.00	genres = [24-Suspense]
Film 	id = ClC21     	title = La Femme Infidele                                 	year = 1969    	director = Chabrol             	rating = 0.00	genres = [24-Suspense]
Film 	id = RtD11     	title = You'll Be the Death of Me                         	year = 1963    	director = R.Douglas           	rating = 0.00	genres = [24-Suspense]
Film 	id = GM237     	title = Houdini                                           	year = 1953    	director = Geo.Marshall        	rating = 0.00	genres = [5-Biography, 9-Drama, 18-Romance]
Film 	id = GM238     	title = Scared Stiff                                      	year = 1953    	director = Geo.Marshall        	rating = 0.00	genres = [6-Comedy]
Film 	id = RtD13     	title = Sign of Satan                                     	year = 1964    	director = R.Douglas           	rating = 0.00	genres = [24-Suspense]
Film 	id = ClC24     	title = Le Boucher                                        	year = 1970    	director = Chabrol             	rating = 0.00	genres = [24-Suspense, 9-Drama]
Film 	id = FFe10     	title = The Hindu                                         	year = 1953    	director = Ferrin              	rating = 0.00	genres = [9-Drama]
Film 	id = JGs31     	title = Rollercoaster                                     	year = 1977    	director = Goldstone           	rating = 0.00	genres = [1-Action]
Film 	id = WAS77     	title = Sons of the Desert                                	year = 1933    	director = Seiter              	rating = 0.00	genres = [6-Comedy]
Film 	id = IH26      	title = The List of Adrian Messenger                      	year = 1963    	director = J.Huston            	rating = 0.00	genres = [24-Suspense]
Film 	id = IH23      	title = The Misfits                                       	year = 1961    	director = J.Huston            	rating = 0.00	genres = [25-West]
Film 	id = GM240     	title = Red Garters                                       	year = 1954    	director = Geo.Marshall        	rating = 0.00	genres = [6-Comedy, 25-West]
Film 	id = IH29      	title = Casino Royale                                     	year = 1967    	director = Joe McGrath Richard Talmadge	rating = 0.00	genres = [3-Adventure]
Film 	id = GM242     	title = Money From Home                                   	year = 1954    	director = Geo.Marshall        	rating = 0.00	genres = [6-Comedy]
Film 	id = IH27      	title = The Night of the Iguana                           	year = 1964    	director = J.Huston            	rating = 0.00	genres = [9-Drama]
Film 	id = IH28      	title = The Bible                                         	year = 1966    	director = J.Huston            	rating = 0.00	genres = [9-Drama]
Film 	id = JGs30     	title = The Gang That Couldn't Shoot Straight             	year = 1976    	director = Goldstone           	rating = 0.00	genres = [6-Comedy]
Film 	id = RHf20     	title = I, The Jury                                       	year = 1982    	director = Heffron             	rating = 0.00	genres = [1-Action]
Film 	id = JGb10     	title = The Genius                                        	year = 1992    	director = Breer               	rating = 0.00	genres = [19-Sci-Fi]
Film 	id = MeW10     	title = Code of Silence                                   	year = 1960    	director = M.Welles            	rating = 0.00	genres = [24-Suspense]
Film 	id = ECs10     	title = In The Land of the War Canoes                     	year = 1914    	director = E.Curtis            	rating = 0.00	genres = [8-Documentary, 9-Drama]
Film 	id = xEn10     	title = Pygmalion                                         	year = 1935    	director = Engel               	rating = 0.00	genres = [9-Drama]
Film 	id = IH30      	title = Reflections in a Golden Eye                       	year = 1967    	director = J.Huston            	rating = 0.00	genres = [9-Drama, 18-Romance]
Film 	id = IH31      	title = A Walk with Love and Death                        	year = 1968    	director = J.Huston            	rating = 0.00	genres = [18-Romance]
Film 	id = IH14      	title = The Asphalt Jungle                                	year = 1950    	director = J.Huston            	rating = 0.00	genres = [24-Suspense]
Film 	id = JGs20     	title = Winning                                           	year = 1969    	director = Goldstone           	rating = 0.00	genres = [9-Drama, 1-Action]
Film 	id = IiS5      	title = The Hours and Times                               	year = 1991    	director = Softley             	rating = 0.00	genres = [15-Musical]
Film 	id = IH15      	title = Red Badge of Courage                              	year = 1951    	director = J.Huston            	rating = 0.00	genres = [9-Drama]
Film 	id = IH12      	title = Key Largo                                         	year = 1948    	director = J.Huston            	rating = 0.00	genres = [9-Drama]
Film 	id = IH18      	title = Beat the Devil                                    	year = 1954    	director = J.Huston            	rating = 0.00	genres = [6-Comedy, 24-Suspense, 29-Noir]
Film 	id = IH19      	title = Moby Dick                                         	year = 1956    	director = J.Huston            	rating = 0.00	genres = [9-Drama]
Film 	id = TBi10     	title = Star Trap                                         	year = 1989    	director = Bigat               	rating = 0.00	genres = [13-Horror]
Film 	id = IH17      	title = Moulin Rouge                                      	year = 1952    	director = J.Huston            	rating = 0.00	genres = [5-Biography]
Film 	id = RHf10     	title = Futureworld                                       	year = 1976    	director = Heffron             	rating = 0.00	genres = [11-Fantasy, 24-Suspense]
Film 	id = ChC2      	title = For Those in Peril                                	year = 1943    	director = Ch.Crichton         	rating = 0.00	genres = [8-Documentary]
Film 	id = ChC3      	title = Painted Boats                                     	year = 1945    	director = Ch.Crichton         	rating = 0.00	genres = [18-Romance, 8-Documentary]
Film 	id = ChC4      	title = Hue and Cry                                       	year = 1946    	director = Ch.Crichton         	rating = 0.00	genres = [6-Comedy]
Film 	id = MNv10     	title = Danzon                                            	year = 1992    	director = Novaro              	rating = 0.00	genres = [18-Romance]
Film 	id = ChC5      	title = Against the Wind                                  	year = 1947    	director = Ch.Crichton         	rating = 0.00	genres = [9-Drama]
Film 	id = ChC7      	title = The Lavender Hill Mob                             	year = 1951    	director = Ch.Crichton         	rating = 0.00	genres = [24-Suspense]
Film 	id = IH22      	title = The Unforgiven                                    	year = 1960    	director = J.Huston            	rating = 0.00	genres = [25-West]
Film 	id = SfP6      	title = Hotel Deutschland                                 	year = 1991    	director = Stf.Paul            	rating = 0.00	genres = [8-Documentary, 15-Musical]
Film 	id = SCl5      	title = The Connection                                    	year = 1961    	director = Clarke              	rating = 0.00	genres = [8-Documentary]
Film 	id = IH47      	title = Prizzi's Honor                                    	year = 1985    	director = J.Huston            	rating = 0.00	genres = [6-Comedy, 29-Noir]
Film 	id = IFr7      	title = The Train                                         	year = 1965    	director = Frankenheimer       	rating = 0.00	genres = [1-Action]
Film 	id = IFr8      	title = Seconds                                           	year = 1966    	director = Frankenheimer       	rating = 0.00	genres = [19-Sci-Fi, 13-Horror]
Film 	id = DoW15     	title = A Slight Case of Larceny                          	year = 1953    	director = D.Weis              	rating = 0.00	genres = [6-Comedy]
Film 	id = IFr5      	title = Birdman of Alcatraz                               	year = 1962    	director = Frankenheimer       	rating = 0.00	genres = [9-Drama]
Film 	id = IFr6      	title = Seven Days in May                                 	year = 1964    	director = Frankenheimer       	rating = 0.00	genres = [24-Suspense]
Film 	id = SaG10     	title = Theater of Death                                  	year = 1967    	director = Gallu               	rating = 0.00	genres = [13-Horror]
Film 	id = KlW10     	title = Harlem Theatre                                    	year = 1968    	director = Wildenhahn          	rating = 0.00	genres = [8-Documentary]
Film 	id = CEa7      	title = Firefox                                           	year = 1982    	director = Eastwood            	rating = 0.00	genres = [1-Action]
Film 	id = CEa6      	title = The Eiger Sanction                                	year = 1981    	director = Eastwood            	rating = 0.00	genres = [3-Adventure]
Film 	id = CEa5      	title = Bronco Billy                                      	year = 1980    	director = Eastwood            	rating = 0.00	genres = [25-West]
Film 	id = PdR10     	title = Allegro Ma Troppo                                 	year = 1963    	director = deRoubais           	rating = 0.00	genres = [8-Documentary]
Film 	id = CEa3      	title = The Outlaw Josey Wales                            	year = 1976    	director = Eastwood            	rating = 0.00	genres = [25-West]
Film 	id = CEa2      	title = High Plains Drifter                               	year = 1973    	director = Eastwood            	rating = 0.00	genres = [25-West]
Film 	id = CEa1      	title = Play Misty for Me                                 	year = 1971    	director = Eastwood            	rating = 0.00	genres = [24-Suspense]
Film 	id = CC1       	title = Making A Living                                   	year = 1914    	director = Chaplin             	rating = 0.00	genres = [9-Drama]
Film 	id = SE15      	title = Que Viva Mexico                                   	year = 1932    	director = Eisenstein          	rating = 0.00	genres = [8-Documentary]
Film 	id = JuF10     	title = Godzilla on Monster Island                        	year = 1971    	director = Fukuda              	rating = 0.00	genres = [19-Sci-Fi]
Film 	id = SE10      	title = Mysery and Fortune of Women                       	year = 1929    	director = Eisenstein          	rating = 0.00	genres = [8-Documentary]
Film 	id = IH50      	title = The Dead                                          	year = 1987    	director = J.Huston            	rating = 0.00	genres = [9-Drama]
Film 	id = DoW10     	title = I Love Melvin                                     	year = 1953    	director = D.Weis              	rating = 0.00	genres = [6-Comedy]
Film 	id = JIv6      	title = Shakespeare Wallah                                	year = 1965    	director = Ivory               	rating = 0.00	genres = [9-Drama]
Film 	id = ErK20     	title = Angel Town                                        	year = 1989    	director = Karsen              	rating = 0.00	genres = [1-Action]
Film 	id = LBF10     	title = La Vie Moderne                                    	year = 1999    	director = FeirreraBarbosa     	rating = 0.00	genres = [9-Drama]
Film 	id = IH35      	title = Fat City                                          	year = 1972    	director = J.Huston            	rating = 0.00	genres = [9-Drama]
Film 	id = IH38      	title = The Man Who Would Be King                         	year = 1975    	director = J.Huston            	rating = 0.00	genres = [6-Comedy, 9-Drama]
Film 	id = JGs40     	title = Rita Hayworth: The Love Goddess                   	year = 1983    	director = Goldstone           	rating = 0.00	genres = [5-Biography]
Film 	id = VGl10     	title = Der Brocken                                       	year = 1992    	director = Glowna              	rating = 0.00	genres = [6-Comedy]
Film 	id = RSf20     	title = Sunburn                                           	year = 1979    	director = Sarafian            	rating = 0.00	genres = [16-Mystery]
Film 	id = JuF18     	title = Godzilla vs. Megalon                              	year = 1973    	director = Fukuda              	rating = 0.00	genres = [19-Sci-Fi]
Film 	id = JuF20     	title = Godzilla vs. the Cosmic Monster                   	year = 1974    	director = Fukuda              	rating = 0.00	genres = [19-Sci-Fi]
Film 	id = ChE1      	title = Call It Murder                                    	year = 1934    	director = Erskine             	rating = 0.00	genres = [9-Drama]
Film 	id = ChE2      	title = The Egg and I                                     	year = 1947    	director = Erskine             	rating = 0.00	genres = [6-Comedy]
Film 	id = CD8       	title = What's New Pussycat?                              	year = 1965    	director = C.Donner            	rating = 0.00	genres = [6-Comedy]
Film 	id = BuT10     	title = The Strangler                                     	year = 1963    	director = Topper              	rating = 0.00	genres = [13-Horror]
Film 	id = ErK30     	title = Nemesis                                           	year = 1992    	director = Karsen              	rating = 0.00	genres = [1-Action]
Film 	id = PAn10     	title = Savior                                            	year = 1998    	director = Antonijevic         	rating = 0.00	genres = [9-Drama]
Film 	id = IFr4      	title = The Manchurian Candidate                          	year = 1962    	director = Frankenheimer       	rating = 0.00	genres = [24-Suspense]
Film 	id = ADm10     	title = Chopper                                           	year = 2001    	director = Dominik             	rating = 0.00	genres = [8-Documentary]
Film 	id = IH42      	title = Victory                                           	year = 1981    	director = J.Huston            	rating = 0.00	genres = [1-Action]
Film 	id = RS14      	title = Black Rain                                        	year = 1989    	director = R.Scott             	rating = 0.00	genres = [1-Action]
Film 	id = RS15      	title = Thelma and Louise                                 	year = 1989    	director = R.Scott             	rating = 0.00	genres = [1-Action]
Film 	id = HBn30     	title = Beau Geste                                        	year = 1926    	director = Brenon              	rating = 0.00	genres = [1-Action]
Film 	id = RS11      	title = Someone To Watch Over Me                          	year = 1987    	director = R.Scott             	rating = 0.00	genres = [9-Drama]
Film 	id = WFr11     	title = The McGregor Affair                               	year = 1964    	director = Friedkin            	rating = 0.00	genres = [24-Suspense]
Film 	id = WFr10     	title = Change of Address                                 	year = 1964    	director = Friedkin            	rating = 0.00	genres = [24-Suspense]
Film 	id = APa12     	title = Shoot the Moon                                    	year = 1982    	director = A.Parker            	rating = 0.00	genres = [9-Drama]
Film 	id = WFr14     	title = Off Season                                        	year = 1965    	director = Friedkin            	rating = 0.00	genres = [24-Suspense]
Film 	id = VDa10     	title = The Benny Goodman Story                           	year = 1955    	director = V.Davies            	rating = 0.00	genres = [15-Musical, 5-Biography]
Film 	id = WFr13     	title = Thou Still Unravished Bride                       	year = 1965    	director = Friedkin            	rating = 0.00	genres = [24-Suspense]
Film 	id = WFr12     	title = Crimson Witness                                   	year = 1965    	director = Friedkin            	rating = 0.00	genres = [24-Suspense]
Film 	id = PnM8      	title = Big                                               	year = 1989    	director = P.Marshall          	rating = 0.00	genres = [6-Comedy]
Film 	id = ChH3      	title = Girls Town                                        	year = 1959    	director = C.Haas              	rating = 0.00	genres = [3-Adventure]
Film 	id = Whu29     	title = Kidnapped                                         	year = 1995    	director = W.Hussein           	rating = 0.00	genres = [9-Drama]
Film 	id = FNm5      	title = A Sailor Made Man                                 	year = 1921    	director = Newmeyer            	rating = 0.00	genres = [6-Comedy]
Film 	id = WWn200    	title = The Cool and the Crazy                            	year = 1958    	director = Witney              	rating = 0.00	genres = [9-Drama]
Film 	id = IrR27     	title = The Brave One                                     	year = 1958    	director = Rapper              	rating = 0.00	genres = [9-Drama]
Film 	id = RS20      	title = 1492: Conquest of Paradise                        	year = 1989    	director = R.Scott             	rating = 0.00	genres = [5-Biography]
Film 	id = DME10     	title = The Sandlot                                       	year = 1993    	director = Evans               	rating = 0.00	genres = [6-Comedy]
Film 	id = DME13     	title = First Kid                                         	year = 1996    	director = Evans               	rating = 0.00	genres = [6-Comedy]
Film 	id = MPi50     	title = van Gogh                                          	year = 1992    	director = Pialat              	rating = 0.00	genres = [5-Biography]
Film 	id = JiA10     	title = The Naked Gun                                     	year = 1988    	director = J.Abrahams          	rating = 0.00	genres = [6-Comedy]
Film 	id = JIv8      	title = Bombay Talkie                                     	year = 1970    	director = Ivory               	rating = 0.00	genres = [15-Musical]
Film 	id = TG8       	title = One Way Passage                                   	year = 1932    	director = Garnett             	rating = 0.00	genres = [9-Drama]
Film 	id = JiA15     	title = Hot Shots!                                        	year = 1991    	director = J.Abrahams          	rating = 0.00	genres = [1-Action, 6-Comedy]
Film 	id = HBn40     	title = Beau Ideal                                        	year = 1931    	director = Brenon              	rating = 0.00	genres = [1-Action]
Film 	id = JiA18     	title = Hot Shots! Part Deux                              	year = 1993    	director = J.Abrahams          	rating = 0.00	genres = [1-Action, 6-Comedy]
Film 	id = DdH10     	title = Tendres Cousines                                  	year = 1983    	director = D.Hamilton          	rating = 0.00	genres = [30-Porn]
Film 	id = DoH10     	title = Beau Geste                                        	year = 1966    	director = Heyes               	rating = 0.00	genres = [1-Action]
Film 	id = GS14      	title = Teacher's Pet                                     	year = 1965    	director = Seaton              	rating = 0.00	genres = [18-Romance]
Film 	id = DLu10     	title = It's Happening Tomorrow                           	year = 1994    	director = Luchetti            	rating = 0.00	genres = [9-Drama]
Film 	id = BBa1      	title = Dona Flor and Her Two Husbands                    	year = 1976    	director = B.Barreto           	rating = 0.00	genres = [6-Comedy, 18-Romance, 30-Porn]
Film 	id = SE26      	title = Ivan the Terrible, part II                        	year = 1946    	director = Eisenstein          	rating = 0.00	genres = [5-Biography]
Film 	id = ChG2      	title = The Big Picture                                   	year = 1989    	director = Ch.Guest            	rating = 0.00	genres = [6-Comedy]
Film 	id = SE27      	title = Ivan the Terrible, part III                       	year = 1946    	director = Eisenstein          	rating = 0.00	genres = [5-Biography]
Film 	id = IrR10     	title = The Corn is Green                                 	year = 1945    	director = Rapper              	rating = 0.00	genres = [9-Drama]
Film 	id = SE25      	title = Ivan the Terrible, part I                         	year = 1944    	director = Eisenstein          	rating = 0.00	genres = [5-Biography]
Film 	id = IrR12     	title = Rhapsody in Blue                                  	year = 1945    	director = Rapper              	rating = 0.00	genres = [5-Biography, 15-Musical]
Film 	id = RFM20     	title = Gettysburg                                        	year = 1993    	director = R.Maxwell           	rating = 0.00	genres = [12-History]
Film 	id = SiM10     	title = Tammy and the Millionaire                         	year = 1969    	director = Ezra Stone          	rating = 0.00	genres = [18-Romance]
Film 	id = SE20      	title = Alexander Nevsky                                  	year = 1937    	director = Eisenstein          	rating = 0.00	genres = [5-Biography]
Film 	id = IrR16     	title = Deception                                         	year = 1946    	director = Rapper              	rating = 0.00	genres = [9-Drama]
Film 	id = MSa7      	title = Top Hat                                           	year = 1935    	director = Sandrich            	rating = 0.00	genres = [15-Musical]
Film 	id = APr10     	title = The Crow                                          	year = 1994    	director = Proyas              	rating = 0.00	genres = [13-Horror]
Film 	id = BRa10     	title = Money Talks                                       	year = 1997    	director = Ratner              	rating = 0.00	genres = [6-Comedy]
Film 	id = MSa8      	title = Follow the Fleet                                  	year = 1936    	director = Sandrich            	rating = 0.00	genres = [15-Musical]
Film 	id = MSa9      	title = A Woman Rebels                                    	year = 1936    	director = Sandrich            	rating = 0.00	genres = [9-Drama]
Film 	id = BRa12     	title = Rush Hour                                         	year = 1999    	director = Ratner              	rating = 0.00	genres = [1-Action]
Film 	id = SE28      	title = Que Viva Mexico!                                  	year = 1940    	director = Eisenstein          	rating = 0.00	genres = [8-Documentary]
Film 	id = APr12     	title = The Dark City                                     	year = 1998    	director = Proyas              	rating = 0.00	genres = [29-Noir]
Film 	id = MSa6      	title = The Gay Divorcee                                  	year = 1934    	director = Sandrich            	rating = 0.00	genres = [15-Musical]
Film 	id = MPi40     	title = A Nos Amours                                      	year = 1983    	director = Pialat              	rating = 0.00	genres = [18-Romance]
Film 	id = MPi45     	title = Under the Sun of Satan                            	year = 1987    	director = Pialat              	rating = 0.00	genres = [9-Drama]
Film 	id = RS32      	title = Blackhawk Down                                    	year = 2001    	director = R.Scott             	rating = 0.00	genres = [12-History, 1-Action]
Film 	id = SvB12     	title = Gerorge of the Jungle                             	year = 1997    	director = Brill               	rating = 0.00	genres = [6-Comedy]
Film 	id = ELM2      	title = The Death Kiss                                    	year = 1932    	director = E.Marin             	rating = 0.00	genres = [16-Mystery]
Film 	id = JuD10     	title = The Great Waltz                                   	year = 1938    	director = Duvivier            	rating = 0.00	genres = [9-Drama, 15-Musical]
Film 	id = JuD13     	title = Tales of Manhattan                                	year = 1942    	director = Duvivier            	rating = 0.00	genres = [6-Comedy]
Film 	id = ELM8      	title = The Casino Murder Case                            	year = 1935    	director = E.Marin             	rating = 0.00	genres = [16-Mystery]
Film 	id = JuD15     	title = Panique                                           	year = 1946    	director = Duvivier            	rating = 0.00	genres = [29-Noir, 24-Suspense]
Film 	id = APa30     	title = Evita                                             	year = 1996    	director = A.Parker            	rating = 0.00	genres = [15-Musical, 5-Biography]
Film 	id = SvB22     	title = Mr. Deeds                                         	year = 2002    	director = Brill               	rating = 0.00	genres = [6-Comedy]
Film 	id = BSc7      	title = General Idi Amin                                  	year = 1974    	director = Schroeder           	rating = 0.00	genres = [8-Documentary]
Film 	id = CJu10     	title = So ist das Leben                                  	year = 1929    	director = Junghans            	rating = 0.00	genres = [9-Drama]
Film 	id = RS28      	title = G.I. Jane                                         	year = 1997    	director = R.Scott             	rating = 0.00	genres = [9-Drama]
Film 	id = RS26      	title = White Squall                                      	year = 1996    	director = R.Scott             	rating = 0.00	genres = [3-Adventure, 5-Biography]
Film 	id = WRu10     	title = Berlin: die Symphonie einer Grossstadt            	year = 1927    	director = Ruttmann            	rating = 0.00	genres = [8-Documentary]
Film 	id = APa20     	title = Mississippi Burning                               	year = 1988    	director = A.Parker            	rating = 0.00	genres = [9-Drama, 12-History]
Film 	id = GTh10     	title = Carry On Sergeant                                 	year = 1958    	director = G.Thomas            	rating = 0.00	genres = [6-Comedy]
Film 	id = GTh12     	title = Carry On Nurse                                    	year = 1959    	director = G.Thomas            	rating = 0.00	genres = [6-Comedy]
Film 	id = APa25     	title = The Commitments                                   	year = 1991    	director = A.Parker            	rating = 0.00	genres = [15-Musical]
Film 	id = APa24     	title = Come See the Paradise                             	year = 1990    	director = A.Parker            	rating = 0.00	genres = [8-Documentary]
Film 	id = GTh14     	title = Carry On Teacher                                  	year = 1960    	director = G.Thomas            	rating = 0.00	genres = [6-Comedy]
Film 	id = WjH10     	title = The Saragossa Manuscript                          	year = 1965    	director = Has                 	rating = 0.00	genres = [11-Fantasy]
