No of Films read '8183'.
Film 	id = H1        	title = Always Tell Your Wife                             	year = 1922    	director = Hitchcock           	rating = 0.00	genres = ['Dram', ]
Film 	id = PS2       	title = Christmas in July                                 	year = 1940    	director = P.Sturges           	rating = 0.00	genres = ['Comd', ]
Film 	id = PS3       	title = Sullivan's Travels                                	year = 1941    	director = P.Sturges           	rating = 0.00	genres = ['Fant', ]
Film 	id = PS4       	title = The Lady Eve                                      	year = 1941    	director = P.Sturges           	rating = 0.00	genres = ['Comd', ]
Film 	id = PS5       	title = The Palm Beach Story                              	year = 1942    	director = P.Sturges           	rating = 0.00	genres = ['Comd', ]
Film 	id = PS7       	title = The Miracle of Morgan's Creek                     	year = 1943    	director = P.Sturges           	rating = 0.00	genres = ['Comd', ]
Film 	id = PS8       	title = Hail the Conquering Hero                          	year = 1944    	director = P.Sturges           	rating = 0.00	genres = ['Comd', ]
Film 	id = PS13      	title = The Sin of Harold Diddlebook                      	year = 1947    	director = P.Sturges           	rating = 0.00	genres = ['Comd', ]
Film 	id = PS21      	title = The Beautiful Blonde from Bashful Bend            	year = 1949    	director = P.Sturges           	rating = 0.00	genres = ['Comd', , 'West', ]
Film 	id = PS22      	title = Les Carnets de Major Thompson                     	year = 1950    	director = P.Sturges           	rating = 0.00	genres = ['Comd', ]
Film 	id = TBs2      	title = La Chiavi                                         	year = 1940    	director = Brass               	rating = 0.00	genres = ['Porn', ]
Film 	id = TBs4      	title = Mirandi                                           	year = 1941    	director = Brass               	rating = 0.00	genres = ['Porn', ]
Film 	id = TBs6      	title = Capriccio                                         	year = 1942    	director = Brass               	rating = 0.00	genres = ['Porn', ]
Film 	id = TBs10     	title = Col Curve in Gula                                 	year = 1945    	director = Brass               	rating = 0.00	genres = ['Porn', ]
Film 	id = TBs12     	title = Il Disco Volante                                  	year = 1947    	director = Brass               	rating = 0.00	genres = ['Porn', ]
Film 	id = TBs14     	title = Nero su Bianco                                    	year = 1949    	director = Brass               	rating = 0.00	genres = ['Porn', ]
Film 	id = TBs16     	title = L'Urlo                                            	year = 1951    	director = Brass               	rating = 0.00	genres = ['Porn', ]
Film 	id = TBs28     	title = La Vacanca                                        	year = 1969    	director = Brass               	rating = 0.00	genres = ['Porn', ]
Film 	id = TBs40     	title = Caligula                                          	year = 1980    	director = Brass               	rating = 0.00	genres = ['Porn', ]
Film 	id = TBs46     	title = Action                                            	year = 1982    	director = Brass               	rating = 0.00	genres = ['Porn', ]
Film 	id = TBs48     	title = Snack Bar Budapest                                	year = 1986    	director = Brass               	rating = 0.00	genres = ['Porn', ]
Film 	id = TBs50     	title = Scandal                                           	year = 1989    	director = Brass               	rating = 0.00	genres = ['BioP', , 'Porn', ]
Film 	id = TBs52     	title = Los Bordeles de Paprika                           	year = 1991    	director = Brass               	rating = 0.00	genres = ['Porn', ]
Film 	id = xCa10     	title = Julieta y Romeo                                   	year = 1940    	director = Castellvi           	rating = 0.00	genres = ['Romt', ]
Film 	id = BaD13     	title = The Blue Lamp                                     	year = 1950    	director = B.Dearden           	rating = 0.00	genres = ['Susp', ]
Film 	id = BaD22     	title = Who Done It                                       	year = 1956    	director = B.Dearden           	rating = 0.00	genres = ['Comd', ]
Film 	id = BaD26     	title = The League of Gentlemen                           	year = 1960    	director = B.Dearden           	rating = 0.00	genres = ['Comd', ]
Film 	id = BaD29     	title = Victim                                            	year = 1961    	director = B.Dearden           	rating = 0.00	genres = ['Susp', ]
Film 	id = BaD35     	title = Masquerade                                        	year = 1965    	director = B.Dearden           	rating = 0.00	genres = ['Susp', ]
Film 	id = BaD39     	title = The Man who Haunted Himself                       	year = 1970    	director = Relph               	rating = 0.00	genres = ['Susp', ]
Film 	id = BBo27     	title = The Tall T                                        	year = 1957    	director = Boetticher          	rating = 0.00	genres = ['West', ]
Film 	id = BSh10     	title = Dumbo                                             	year = 1941    	director = Sharpsteen          	rating = 0.00	genres = ['Cart', ]
Film 	id = ChC2      	title = For Those in Peril                                	year = 1943    	director = Ch.Crichton         	rating = 0.00	genres = ['Docu', ]
Film 	id = ChC3      	title = Painted Boats                                     	year = 1945    	director = Ch.Crichton         	rating = 0.00	genres = ['Romt', , 'Docu', ]
Film 	id = ChC4      	title = Hue and Cry                                       	year = 1946    	director = Ch.Crichton         	rating = 0.00	genres = ['Comd', ]
Film 	id = ChC5      	title = Against the Wind                                  	year = 1947    	director = Ch.Crichton         	rating = 0.00	genres = ['Dram', ]
Film 	id = ChC7      	title = The Lavender Hill Mob                             	year = 1951    	director = Ch.Crichton         	rating = 0.00	genres = ['Susp', ]
Film 	id = ChC12     	title = The Divided Heart                                 	year = 1954    	director = Ch.Crichton         	rating = 0.00	genres = ['Dram', , 'Romt', ]
Film 	id = ChC11     	title = The Titfield Thunderbolt                          	year = 1953    	director = Ch.Crichton         	rating = 0.00	genres = ['Comd', ]
Film 	id = ChC15     	title = Wild Duck                                         	year = 1967    	director = Ch.Crichton         	rating = 0.00	genres = ['Dram', ]
Film 	id = ChC30     	title = A Fish Named Wanda                                	year = 1988    	director = Ch.Crichton         	rating = 0.00	genres = ['Comd', ]
Film 	id = DBy1      	title = Perr Gynt                                         	year = 1941    	director = Bradley             	rating = 0.00	genres = ['Dram', ]
Film 	id = DBy2      	title = Julius Ceasar                                     	year = 1950    	director = Bradley             	rating = 0.00	genres = ['Dram', ]
Film 	id = DBy4      	title = Talk About a Stranger                             	year = 1952    	director = Bradley             	rating = 0.00	genres = ['Noir', ]
Film 	id = DBy10     	title = They Saved Hitler's Brain                         	year = 1963    	director = Bradley             	rating = 0.00	genres = ['Horr', ]
Film 	id = DMi10     	title = Flying Tigers                                     	year = 1943    	director = D.Miller            	rating = 0.00	genres = ['Advt', ]
Film 	id = DMi15     	title = Love Happy                                        	year = 1949    	director = D.Miller            	rating = 0.00	genres = ['Musc', , 'Comd', ]
Film 	id = DMi25     	title = The Opposite Sex                                  	year = 1956    	director = D.Miller            	rating = 0.00	genres = ['Musc', ]
Film 	id = DMi27     	title = The Story of Esther Costello                      	year = 1957    	director = D.Miller            	rating = 0.00	genres = ['Dram', ]
Film 	id = DMi28     	title = Happy Anniversary                                 	year = 1959    	director = D.Miller            	rating = 0.00	genres = ['Comd', ]
Film 	id = DMi30     	title = Midnight Lace                                     	year = 1960    	director = D.Miller            	rating = 0.00	genres = ['Susp', ]
Film 	id = DMi32     	title = Back Street                                       	year = 1961    	director = D.Miller            	rating = 0.00	genres = ['Dram', ]
Film 	id = DMi35     	title = Lonely Are the Brave                              	year = 1962    	director = D.Miller            	rating = 0.00	genres = ['West', ]
Film 	id = DMi45     	title = Executive Action                                  	year = 1973    	director = D.Miller            	rating = 0.00	genres = ['BioP', ]
Film 	id = GSy4      	title = Anchors Aweigh                                    	year = 1945    	director = Sidney              	rating = 0.00	genres = ['Musc', ]
Film 	id = GSy7      	title = The Three Musketeers                              	year = 1948    	director = Sidney              	rating = 0.00	genres = ['Advt', ]
Film 	id = GSy9      	title = Annie Get Your Gun                                	year = 1950    	director = Sidney              	rating = 0.00	genres = ['Musc', ]
Film 	id = GSy10     	title = Showboat                                          	year = 1951    	director = Sidney              	rating = 0.00	genres = ['Musc', ]
Film 	id = GSy13     	title = Kiss Me Kate                                      	year = 1953    	director = Sidney              	rating = 0.00	genres = ['Musc', ]
Film 	id = GSy17     	title = Pal Joey                                          	year = 1957    	director = Sidney              	rating = 0.00	genres = ['Musc', ]
Film 	id = GSy30     	title = Bye Bye Birdie                                    	year = 1963    	director = Sidney              	rating = 0.00	genres = ['Musc', ]
Film 	id = GSy40     	title = Half a Sixpence                                   	year = 1967    	director = Sidney              	rating = 0.00	genres = ['Musc', ]
Film 	id = IrR6      	title = Now, Voyager                                      	year = 1942    	director = Rapper              	rating = 0.00	genres = ['Dram', ]
Film 	id = IrR10     	title = The Corn is Green                                 	year = 1945    	director = Rapper              	rating = 0.00	genres = ['Dram', ]
Film 	id = IrR12     	title = Rhapsody in Blue                                  	year = 1945    	director = Rapper              	rating = 0.00	genres = ['BioP', , 'Musc', ]
Film 	id = IrR16     	title = Deception                                         	year = 1946    	director = Rapper              	rating = 0.00	genres = ['Dram', ]
Film 	id = IrR27     	title = The Brave One                                     	year = 1958    	director = Rapper              	rating = 0.00	genres = ['Dram', ]
Film 	id = IrR30     	title = Marjorie Morningstar                              	year = 1958    	director = Rapper              	rating = 0.00	genres = ['Dram', ]
Film 	id = IrR32     	title = The Miracle                                       	year = 1959    	director = Rapper              	rating = 0.00	genres = ['Fant', ]
Film 	id = IrR50     	title = Born Again                                        	year = 1978    	director = Rapper              	rating = 0.00	genres = ['Dram', ]
Film 	id = IH1       	title = The Maltese Falcon                                	year = 1941    	director = J.Huston            	rating = 0.00	genres = ['Susp', , 'Noir', ]
Film 	id = IH2       	title = This is our Life                                  	year = 1942    	director = J.Huston            	rating = 0.00	genres = ['Romt', ]
Film 	id = IH3       	title = Across the Pacific                                	year = 1942    	director = V.Sherman           	rating = 0.00	genres = ['Susp', ]
Film 	id = IH4       	title = The Battle of San Pietro                          	year = 1943    	director = J.Huston            	rating = 0.00	genres = ['Docu', ]
Film 	id = IH11      	title = The Treasure of the Sierra Madre                  	year = 1948    	director = J.Huston            	rating = 0.00	genres = ['West', ]
Film 	id = IH12      	title = Key Largo                                         	year = 1948    	director = J.Huston            	rating = 0.00	genres = ['Dram', ]
Film 	id = IH14      	title = The Asphalt Jungle                                	year = 1950    	director = J.Huston            	rating = 0.00	genres = ['Susp', ]
Film 	id = IH15      	title = Red Badge of Courage                              	year = 1951    	director = J.Huston            	rating = 0.00	genres = ['Dram', ]
Film 	id = IH17      	title = Moulin Rouge                                      	year = 1952    	director = J.Huston            	rating = 0.00	genres = ['BioP', ]
Film 	id = IH18      	title = Beat the Devil                                    	year = 1954    	director = J.Huston            	rating = 0.00	genres = ['Comd', , 'Susp', , 'Noir', ]
Film 	id = IH19      	title = Moby Dick                                         	year = 1956    	director = J.Huston            	rating = 0.00	genres = ['Dram', ]
Film 	id = IH22      	title = The Unforgiven                                    	year = 1960    	director = J.Huston            	rating = 0.00	genres = ['West', ]
Film 	id = IH23      	title = The Misfits                                       	year = 1961    	director = J.Huston            	rating = 0.00	genres = ['West', ]
Film 	id = IH26      	title = The List of Adrian Messenger                      	year = 1963    	director = J.Huston            	rating = 0.00	genres = ['Susp', ]
Film 	id = IH27      	title = The Night of the Iguana                           	year = 1964    	director = J.Huston            	rating = 0.00	genres = ['Dram', ]
Film 	id = IH28      	title = The Bible                                         	year = 1966    	director = J.Huston            	rating = 0.00	genres = ['Dram', ]
Film 	id = IH29      	title = Casino Royale                                     	year = 1967    	director = Joe McGrath Richard Talmadge	rating = 0.00	genres = ['Advt', ]
Film 	id = IH30      	title = Reflections in a Golden Eye                       	year = 1967    	director = J.Huston            	rating = 0.00	genres = ['Dram', , 'Romt', ]
Film 	id = IH31      	title = A Walk with Love and Death                        	year = 1968    	director = J.Huston            	rating = 0.00	genres = ['Romt', ]
Film 	id = IH35      	title = Fat City                                          	year = 1972    	director = J.Huston            	rating = 0.00	genres = ['Dram', ]
Film 	id = IH38      	title = The Man Who Would Be King                         	year = 1975    	director = J.Huston            	rating = 0.00	genres = ['Comd', , 'Dram', ]
Film 	id = IH42      	title = Victory                                           	year = 1981    	director = J.Huston            	rating = 0.00	genres = ['Actn', ]
Film 	id = IH47      	title = Prizzi's Honor                                    	year = 1985    	director = J.Huston            	rating = 0.00	genres = ['Comd', , 'Noir', ]
Film 	id = IH50      	title = The Dead                                          	year = 1987    	director = J.Huston            	rating = 0.00	genres = ['Dram', ]
Film 	id = KuH10     	title = Quax der Bruchpilot                               	year = 1941    	director = K.Hoffman           	rating = 0.00	genres = ['Comd ', ]
Film 	id = KuH20     	title = I think often of Piroschka                        	year = 1955    	director = K.Hoffman           	rating = 0.00	genres = ['Comd ', ]
Film 	id = KuH25     	title = The Confessions of Felix Krull                    	year = 1957    	director = K.Hoffman           	rating = 0.00	genres = ['Comd ', ]
Film 	id = KuH29     	title = Wir Wunderkinder                                  	year = 1958    	director = K.Hoffman           	rating = 0.00	genres = ['Comd ', ]
Film 	id = LaC20     	title = Great Day                                         	year = 1945    	director = Comfort             	rating = 0.00	genres = ['Dram', ]
Film 	id = LaC25     	title = Silent Dust                                       	year = 1948    	director = Comfort             	rating = 0.00	genres = ['Dram', ]
Film 	id = LaC35     	title = Eight O'Clock Walk                                	year = 1948    	director = Comfort             	rating = 0.00	genres = ['Susp', ]
Film 	id = LHo2      	title = The First of the Few                              	year = 1942    	director = L.Howard            	rating = 0.00	genres = ['Hist', , 'BioP', ]
Film 	id = PaJ2      	title = Ferry Pilot                                       	year = 1941    	director = P.Jackson           	rating = 0.00	genres = ['Docu', , 'Dram', ]
Film 	id = PaJ5      	title = Western Approaches                                	year = 1944    	director = P.Jackson           	rating = 0.00	genres = ['Dram', , 'Docu', ]
Film 	id = PaJ10     	title = Shadow on the Wall                                	year = 1948    	director = P.Jackson           	rating = 0.00	genres = ['Susp', ]
Film 	id = PaJ12     	title = White Corridors                                   	year = 1950    	director = P.Jackson           	rating = 0.00	genres = ['Docu', , 'Dram', ]
Film 	id = PaJ60     	title = The Frighteners                                   	year = 1996    	director = P.Jackson           	rating = 0.00	genres = ['Horr', , 'Comd', ]
Film 	id = ReC4      	title = Two Cents worth of Hope                           	year = 1952    	director = R.Castellani        	rating = 0.00	genres = ['Dram', ]
Film 	id = ReC5      	title = Romeo and Juliet                                  	year = 1953    	director = R.Castellani        	rating = 0.00	genres = ['Dram', ]
Film 	id = RMp13     	title = Night Plane from Chungking                        	year = 1942    	director = R.Murphy            	rating = 0.00	genres = ['Susp', ]
Film 	id = StH3      	title = Among the Living                                  	year = 1941    	director = Heisler             	rating = 0.00	genres = ['Horr', ]
Film 	id = StH5      	title = The Glass Key                                     	year = 1942    	director = Heisler             	rating = 0.00	genres = ['Susp', ]
Film 	id = StH13     	title = Blue Skies                                        	year = 1945    	director = Heisler             	rating = 0.00	genres = ['Musc', ]
Film 	id = StH15     	title = Smash-Up                                          	year = 1947    	director = Heisler             	rating = 0.00	genres = ['Dram', ]
Film 	id = StH18     	title = Tulsa                                             	year = 1949    	director = Heisler             	rating = 0.00	genres = ['West', ]
Film 	id = StH20     	title = Chain Lightning                                   	year = 1950    	director = Heisler             	rating = 0.00	genres = ['Advt', ]
Film 	id = StH23     	title = I died a Thousand Times                           	year = 1955    	director = Heisler             	rating = 0.00	genres = ['Dram', ]
Film 	id = StH30     	title = Hitler                                            	year = 1961    	director = Heisler             	rating = 0.00	genres = ['BioP', ]
Film 	id = TTz2      	title = Fighting Father Dunne                             	year = 1942    	director = Tetzlaff            	rating = 0.00	genres = ['Dram', ]
Film 	id = TTz4      	title = Riff Raff                                         	year = 1946    	director = Tetzlaff            	rating = 0.00	genres = ['Advt', ]
Film 	id = TTz6      	title = The Window                                        	year = 1948    	director = Tetzlaff            	rating = 0.00	genres = ['Susp', , 'Noir', ]
Film 	id = TTz8      	title = Johnny Allegro                                    	year = 1948    	director = Tetzlaff            	rating = 0.00	genres = ['Myst', ]
Film 	id = TTz9      	title = The Window                                        	year = 1949    	director = Tetzlaff            	rating = 0.00	genres = ['Susp', ]
Film 	id = TTz10     	title = The White Tower                                   	year = 1950    	director = Tetzlaff            	rating = 0.00	genres = ['Advt', ]
Film 	id = TTz11     	title = Gambling House                                    	year = 1950    	director = Tetzlaff            	rating = 0.00	genres = ['Dram', ]
Film 	id = TTz20     	title = Son of Sinbad                                     	year = 1955    	director = Tetzlaff            	rating = 0.00	genres = ['Porn', ]
Film 	id = VdS2      	title = I Bambini ci Guardino                             	year = 1942    	director = deSica              	rating = 0.00	genres = ['Dram', ]
Film 	id = VdS5      	title = Bicycle Thieves                                   	year = 1948    	director = deSica              	rating = 0.00	genres = ['Dram', ]
Film 	id = VdS7      	title = Umberto D                                         	year = 1952    	director = deSica              	rating = 0.00	genres = ['Dram', ]
Film 	id = VdS8      	title = The Gold of Naples                                	year = 1952    	director = deSica              	rating = 0.00	genres = ['Dram', ]
Film 	id = VdS13     	title = Stazione Termini                                  	year = 1954    	director = deSica              	rating = 0.00	genres = ['Dram', ]
Film 	id = VdS15     	title = Two Women                                         	year = 1961    	director = Cesare Zavattini    	rating = 0.00	genres = ['Dram', ]
Film 	id = VdS21     	title = After the Fox                                     	year = 1966    	director = deSica              	rating = 0.00	genres = ['Comd', ]
Film 	id = VdS24     	title = The Garden of the Finzi-Continis                  	year = 1971    	director = deSica              	rating = 0.00	genres = ['Dram', ]
Film 	id = ALe4      	title = Pandora and the Flying Dutchman                   	year = 1951    	director = Lewin               	rating = 0.00	genres = ['Fant', ]
Film 	id = ALe7      	title = Saadia                                            	year = 1953    	director = Lewin               	rating = 0.00	genres = ['Romt', ]
Film 	id = AnM16     	title = The Furies                                        	year = 1950    	director = Ant.Mann            	rating = 0.00	genres = ['West', ]
Film 	id = AnM17     	title = The Reign of Terror                               	year = 1950    	director = Ant.Mann            	rating = 0.00	genres = ['Dram', ]
Film 	id = AnM20     	title = Winchester 73                                     	year = 1950    	director = James Stewart       	rating = 0.00	genres = ['West', ]
Film 	id = AnM22     	title = Bend of the River                                 	year = 1951    	director = Ant.Mann            	rating = 0.00	genres = ['West', ]
Film 	id = AnM24     	title = The Naked Spur                                    	year = 1953    	director = Ant.Mann            	rating = 0.00	genres = ['West', ]
Film 	id = AnM25     	title = The Glenn Miller Story                            	year = 1954    	director = Ant.Mann            	rating = 0.00	genres = ['BioP', , 'Musc', ]
Film 	id = AnM27     	title = Strategic Air Command                             	year = 1955    	director = Ant.Mann            	rating = 0.00	genres = ['Actn', ]
Film 	id = AnM28     	title = The Man from Laramie                              	year = 1955    	director = Ant.Mann            	rating = 0.00	genres = ['West', ]
Film 	id = AnM30     	title = Serenade                                          	year = 1955    	director = Ant.Mann            	rating = 0.00	genres = ['Musc', , 'Romt', ]
Film 	id = AnM34     	title = Man of the West                                   	year = 1958    	director = Ant.Mann            	rating = 0.00	genres = ['West', ]
Film 	id = AnM35     	title = Cimarron                                          	year = 1960    	director = Ant.Mann            	rating = 0.00	genres = ['West', ]
Film 	id = AnM37     	title = El Cid                                            	year = 1961    	director = Ant.Mann            	rating = 0.00	genres = ['Epic', , 'Advt', ]
Film 	id = AnM40     	title = The Fall of the Roman Empire                      	year = 1964    	director = Ant.Mann            	rating = 0.00	genres = ['Epic', ]
Film 	id = ASj15     	title = Hets                                              	year = 1942    	director = Sjoberg             	rating = 0.00	genres = ['Dram', ]
Film 	id = ChF10     	title = The Cruel Sea                                     	year = 1953    	director = Frend               	rating = 0.00	genres = ['Dram', ]
Film 	id = DL3       	title = Blithe Spirit                                     	year = 1945    	director = Lean                	rating = 0.00	genres = ['Comd', ]
Film 	id = DL4       	title = Brief Encounter                                   	year = 1946    	director = Lean                	rating = 0.00	genres = ['Romt', ]
Film 	id = DL5       	title = Great Expectations                                	year = 1946    	director = Lean                	rating = 0.00	genres = ['Dram', ]
Film 	id = DL7       	title = Passionate Friends                                	year = 1948    	director = Lean                	rating = 0.00	genres = ['Romt', ]
Film 	id = DL9       	title = The Sound Barrier                                 	year = 1951    	director = Lean                	rating = 0.00	genres = ['Advt', , 'Docu', ]
Film 	id = DL11      	title = Summertime                                        	year = 1955    	director = Lean                	rating = 0.00	genres = ['Romt', ]
Film 	id = DL12      	title = The Bridge on the River Kwai                      	year = 1957    	director = Lean                	rating = 0.00	genres = ['Advt', ]
Film 	id = DL13      	title = Lawrence of Arabia                                	year = 1962    	director = Lean                	rating = 0.00	genres = ['Advt', , 'Epic', ]
Film 	id = DL15      	title = Ryan's Daughter                                   	year = 1970    	director = Lean                	rating = 0.00	genres = ['Dram', ]
Film 	id = FZ3       	title = The Seventh Cross                                 	year = 1944    	director = Zinneman            	rating = 0.00	genres = ['Dram', ]
Film 	id = FZ8       	title = The Men                                           	year = 1945    	director = Zinneman            	rating = 0.00	genres = ['Dram', , 'Docu', ]
Film 	id = FZ10      	title = High Noon                                         	year = 1952    	director = Zinneman            	rating = 0.00	genres = ['West', ]
Film 	id = FZ11      	title = The Member of the Wedding                         	year = 1953    	director = Zinneman            	rating = 0.00	genres = ['Dram', ]
Film 	id = FZ13      	title = Oklahoma!                                         	year = 1955    	director = Zinneman            	rating = 0.00	genres = ['Musc', ]
Film 	id = FZ14      	title = The Nun's Story                                   	year = 1960    	director = Zinneman            	rating = 0.00	genres = ['Advt', ]
Film 	id = FZ15      	title = The Sundowners                                    	year = 1960    	director = Zinneman            	rating = 0.00	genres = ['Dram', ]
Film 	id = FZ19      	title = Day of the Jackal                                 	year = 1973    	director = Zinneman            	rating = 0.00	genres = ['Susp', ]
Film 	id = FZ20      	title = Julia                                             	year = 1977    	director = Zinneman            	rating = 0.00	genres = ['Dram', ]
Film 	id = FZ20ZZ    	title = The Real Julia, Muriel Gardiner's Story           	year = 1980    	director = Zinneman            	rating = 0.00	genres = ['Docu', ]
Film 	id = GLa2      	title = Le Journal Tombe a Cinq Heures                    	year = 1942    	director = Lacombe             	rating = 0.00	genres = ['Romt', ]
Film 	id = HGC2      	title = Le Corbeau                                        	year = 1943    	director = Clouzot             	rating = 0.00	genres = ['Susp', ]
Film 	id = HGC5      	title = L'Assassin habite au 21                           	year = 1947    	director = Clouzot             	rating = 0.00	genres = ['Susp', ]
Film 	id = HGC6      	title = Jenny Lamour                                      	year = 1947    	director = Clouzot             	rating = 0.00	genres = ['Susp', ]
Film 	id = HGC14     	title = Manon                                             	year = 1949    	director = Clouzot             	rating = 0.00	genres = ['Dram', ]
Film 	id = HGC16     	title = Le Salaire de la Peur                             	year = 1952    	director = Clouzot             	rating = 0.00	genres = ['Noir', , 'Susp', ]
Film 	id = HGC17     	title = Les Diaboliques                                   	year = 1954    	director = Clouzot             	rating = 0.00	genres = ['Noir', ]
Film 	id = IRa4      	title = The Great Impersonation                           	year = 1942    	director = Rawlins             	rating = 0.00	genres = ['Advt', ]
Film 	id = IRa5      	title = Sherlock Holmes and the Voice of Terror           	year = 1942    	director = Rawlins             	rating = 0.00	genres = ['Susp', ]
Film 	id = IRa10     	title = Dick Tracy vs. Cueball                            	year = 1946    	director = Rawlins             	rating = 0.00	genres = ['Actn', ]
Film 	id = IRa12     	title = Dick Tracy's Dilemma                              	year = 1947    	director = Rawlins             	rating = 0.00	genres = ['Actn', ]
Film 	id = IRa14     	title = Dick Tracy Meets Gruesome                         	year = 1947    	director = Rawlins             	rating = 0.00	genres = ['Actn', ]
Film 	id = JD8       	title = The Naked City                                    	year = 1948    	director = Dassin              	rating = 0.00	genres = ['DRAM', ]
Film 	id = JD10      	title = Night and the City                                	year = 1950    	director = Dassin              	rating = 0.00	genres = ['Susp', ]
Film 	id = JD12      	title = Rififi                                            	year = 1954    	director = Dassin              	rating = 0.00	genres = ['Susp', , 'Advt', , 'Musc', ]
Film 	id = JD14      	title = He Who Must Die                                   	year = 1958    	director = Dassin              	rating = 0.00	genres = ['Dram', ]
Film 	id = JD15      	title = Never on Sunday                                   	year = 1959    	director = Dassin              	rating = 0.00	genres = ['Romt', ]
Film 	id = JD16      	title = Phaedra                                           	year = 1961    	director = Dassin              	rating = 0.00	genres = ['Dram', ]
Film 	id = JD17      	title = Topkapi                                           	year = 1964    	director = Dassin              	rating = 0.00	genres = ['CnRb', , 'Comd', ]
Film 	id = JD25      	title = A Dream of Passion                                	year = 1978    	director = Dassin              	rating = 0.00	genres = ['Dram', ]
Film 	id = JeY10     	title = The Naughty Nineties                              	year = 1945    	director = Yarborough          	rating = 0.00	genres = ['Comd', ]
Film 	id = JeY30     	title = Abbott and Costello Lost in Alaska                	year = 1952    	director = Yarborough          	rating = 0.00	genres = ['Comd', ]
Film 	id = JqB5      	title = Goupi Mains Rouges                                	year = 1942    	director = J.Becker            	rating = 0.00	genres = ['Comd', , 'Noir', ]
Film 	id = JqB15     	title = Antoine et Antoinette                             	year = 1947    	director = J.Becker            	rating = 0.00	genres = ['Romt', , 'Comd', ]
Film 	id = JqB18     	title = Rendevouz de Julliet                              	year = 1949    	director = J.Becker            	rating = 0.00	genres = ['Dram', , 'Romt', ]
Film 	id = JqB20     	title = Edouard et Caroline                               	year = 1951    	director = J.Becker            	rating = 0.00	genres = ['Comd', ]
Film 	id = JqB22     	title = Casque d'Or                                       	year = 1952    	director = J.Becker            	rating = 0.00	genres = ['Romt', ]
Film 	id = JqB25     	title = Touchez pas au Grisbi                             	year = 1953    	director = J.Becker            	rating = 0.00	genres = ['Susp', ]
Film 	id = JqB28     	title = Montparnasse 19                                   	year = 1955    	director = J.Becker            	rating = 0.00	genres = ['BioP', ]
Film 	id = JqB38     	title = Le Trou                                           	year = 1960    	director = J.Becker            	rating = 0.00	genres = ['CnRb', ]
Film 	id = LAr4      	title = Wicked Lady                                       	year = 1945    	director = Arliss              	rating = 0.00	genres = ['Comd', ]
Film 	id = LuV1      	title = Ossessione                                        	year = 1942    	director = Visconti            	rating = 0.00	genres = ['Dram', ]
Film 	id = LuV2      	title = La Terra Trema                                    	year = 1948    	director = Zeffirelli          	rating = 0.00	genres = ['Epic', ]
Film 	id = LuV3      	title = Bellisima                                         	year = 1951    	director = Zeffirelli          	rating = 0.00	genres = ['Comd', ]
Film 	id = LuV20     	title = Senso                                             	year = 1953    	director = Visconti            	rating = 0.00	genres = ['Dram', ]
Film 	id = LuV30     	title = Rocco and His Brothers                            	year = 1960    	director = Visconti            	rating = 0.00	genres = ['Epic', ]
Film 	id = LuV40     	title = Boccaccio 70                                      	year = 1962    	director = Fellini             	rating = 0.00	genres = ['Dram', ]
Film 	id = LuV50     	title = Il gattopardo                                     	year = 1963    	director = Visconti            	rating = 0.00	genres = ['Dram', ]
Film 	id = LuV60     	title = The Damned                                        	year = 1969    	director = Visconti            	rating = 0.00	genres = ['Dram', ]
Film 	id = LuV68     	title = Ludwig                                            	year = 1973    	director = Visconti            	rating = 0.00	genres = ['BioP', ]
Film 	id = LuV80     	title = The Innocent                                      	year = 1979    	director = Visconti            	rating = 0.00	genres = ['Romt', , 'Comd', ]
Film 	id = MiG3      	title = Crime Doctor                                      	year = 1943    	director = M.Gordon            	rating = 0.00	genres = ['CnRb', ]
Film 	id = MiG5      	title = Crime Doctor's Strangest Case                     	year = 1943    	director = M.Gordon            	rating = 0.00	genres = ['CnRb', ]
Film 	id = MiG7      	title = Crime Doctor's Strangest Case                     	year = 1943    	director = M.Gordon            	rating = 0.00	genres = ['CnRb', ]
Film 	id = MiG9      	title = Shadows in the Night                              	year = 1944    	director = M.Gordon            	rating = 0.00	genres = ['CnRb', ]
Film 	id = MiG11     	title = Crime Doctor's Courage                            	year = 1944    	director = M.Gordon            	rating = 0.00	genres = ['CnRb', ]
Film 	id = MiG13     	title = Crime Doctor's Warning                            	year = 1945    	director = M.Gordon            	rating = 0.00	genres = ['CnRb', ]
Film 	id = MiG15     	title = Crime Doctor's Manhunt                            	year = 1946    	director = M.Gordon            	rating = 0.00	genres = ['CnRb', ]
Film 	id = MiG17     	title = Just Before Dawn                                  	year = 1946    	director = M.Gordon            	rating = 0.00	genres = ['CnRb', ]
Film 	id = MiG19     	title = the Millerson Case                                	year = 1947    	director = M.Gordon            	rating = 0.00	genres = ['CnRb', ]
Film 	id = MiG23     	title = Crime Doctor's Gamble                             	year = 1948    	director = M.Gordon            	rating = 0.00	genres = ['CnRb', ]
Film 	id = MiG29     	title = Crime Doctor's Diary                              	year = 1949    	director = M.Gordon            	rating = 0.00	genres = ['CnRb', ]
Film 	id = MiG30     	title = Cyrano de Bergerac                                	year = 1950    	director = M.Gordon            	rating = 0.00	genres = ['Romt', ]
Film 	id = MiG35     	title = Pillow Talk                                       	year = 1959    	director = Mi.Gordon           	rating = 0.00	genres = ['Romt', ]
